effect,dataset,model,seed,estimate,n_subjects_total,n_subjects_available
aps_a0.1_coverage_gap,uci_har,cnn1d,20260911,0.016236381024989057,30,30
aps_a0.1_coverage_gap,uci_har,cnn1d,20260912,-0.005083633812633355,30,30
aps_a0.1_coverage_gap,uci_har,cnn1d,20260913,0.001195501145501232,30,30
aps_a0.1_coverage_gap,uci_har,cnn1d,20260914,-0.005024596555214367,30,30
aps_a0.1_coverage_gap,uci_har,cnn1d,20260915,-0.007720832400521164,30,30
aps_a0.1_coverage_gap,uci_har,cnn1d,20260916,-0.007874318931678673,30,30
aps_a0.1_coverage_gap,uci_har,cnn1d,20260917,0.005413552526487079,30,30
aps_a0.1_coverage_gap,uci_har,cnn1d,20260918,-0.017580151607469015,30,30
aps_a0.1_coverage_gap,uci_har,cnn1d,20260919,0.0027720428330046064,30,30
aps_a0.1_coverage_gap,uci_har,cnn1d,20260920,-0.018738358383798115,30,30
aps_a0.1_coverage_gap,uci_har,extra_trees,20260911,0.004376228331961844,30,30
aps_a0.1_coverage_gap,uci_har,extra_trees,20260912,0.0048647828620828285,30,30
aps_a0.1_coverage_gap,uci_har,extra_trees,20260913,0.003938719602993953,30,30
aps_a0.1_coverage_gap,uci_har,extra_trees,20260914,0.0034770915976848524,30,30
aps_a0.1_coverage_gap,uci_har,extra_trees,20260915,0.007274158467055503,30,30
aps_a0.1_coverage_gap,uci_har,extra_trees,20260916,0.003590976200366158,30,30
aps_a0.1_coverage_gap,uci_har,extra_trees,20260917,-0.005303649902650616,30,30
aps_a0.1_coverage_gap,uci_har,extra_trees,20260918,0.00463924284572933,30,30
aps_a0.1_coverage_gap,uci_har,extra_trees,20260919,-0.0006051850252502766,30,30
aps_a0.1_coverage_gap,uci_har,extra_trees,20260920,0.0010586041343593347,30,30
aps_a0.1_coverage_gap,uci_har,hist_gradient_boosting,20260911,0.004784810950059478,30,30
aps_a0.1_coverage_gap,uci_har,hist_gradient_boosting,20260912,-0.0008211352324461093,30,30
aps_a0.1_coverage_gap,uci_har,hist_gradient_boosting,20260913,-0.0008211352324461093,30,30
aps_a0.1_coverage_gap,uci_har,hist_gradient_boosting,20260914,-0.0008211352324461093,30,30
aps_a0.1_coverage_gap,uci_har,hist_gradient_boosting,20260915,-0.0008211352324461093,30,30
aps_a0.1_coverage_gap,uci_har,hist_gradient_boosting,20260916,-0.0008211352324461093,30,30
aps_a0.1_coverage_gap,uci_har,hist_gradient_boosting,20260917,-0.0008211352324461093,30,30
aps_a0.1_coverage_gap,uci_har,hist_gradient_boosting,20260918,-0.0008211352324461093,30,30
aps_a0.1_coverage_gap,uci_har,hist_gradient_boosting,20260919,0.004784810950059478,30,30
aps_a0.1_coverage_gap,uci_har,hist_gradient_boosting,20260920,-0.0008211352324461093,30,30
aps_a0.1_coverage_gap,uci_har,logistic,20260911,-0.003054460546642701,30,30
aps_a0.1_coverage_gap,uci_har,logistic,20260912,-0.009987604747534119,30,30
aps_a0.1_coverage_gap,uci_har,logistic,20260913,-0.009987604747534119,30,30
